время,На каком курсе вы обучаетесь?,Сколько вам лет?,Занимаетесь ли вы каким-то спортом вне ВУЗа ?,Ваш пол,Сколько приблизительно пар вы пропускаете в неделю?,Подрабатываете ли вы или работаете помимо ВУЗа?,"Сколько приблизительно часов в неделю вы уделяете на выполнения домашнего задания и закрепления информации, полученной в ВУЗе?",Где вы проживаете?,Сколько вы зарабатываете с учетом стипендии?,Укажите количество родных братьев или сестер,На какой основе вы обучаетесь?,Укажите ваш суммарный балл ЕГЭ,Сколько времени в часах занимает ваша дорога до ВУЗа?,Считаете ли вы высшим образованием необходимым?,Ваша средняя оценка за предыдущий семестр
01.10.2023 16:28:46,2 курс (бакалавриата),19,Нет,Мужской,5,Нахожу варианты подработки,4,Снимаю квартиру (один или с кем-то),15000,1,На бюджетной основе,238,1,Да,"4,33"
01.10.2023 16:32:30,2 курс (бакалавриата),18,Да,Мужской,4,Нахожу варианты подработки,6,В общежитии,15000,1,На бюджетной основе,243,0.5,Да,"4,7"
01.10.2023 16:32:50,2 курс (бакалавриата),19,Нет,Мужской,1,Сконцентрирован(а) только на учёбе,6,В общежитии,3168,0,На бюджетной основе,255,"0,5",Да,"4,6"
01.10.2023 16:43:04,2 курс (бакалавриата),19,Да,Мужской,2,Нахожу варианты подработки,21,В общежитии,15000,0,На бюджетной основе,256,0.8,Да,"4,83"
01.10.2023 16:53:17,2 курс (бакалавриата),19,Нет,Мужской,4,Имею постоянную работу,12,Живу с родственниками,18000,0,На контрактной основе,198,1,Да,"4,63"
01.10.2023 17:12:42,2 курс (бакалавриата),19,Да,Мужской,0,Нахожу варианты подработки,20,Живу с родственниками,5000,3,На целевой основе,164,2,Да,"4,6"
01.10.2023 17:18:14,2 курс (бакалавриата),19,Да,Мужской,4,Нахожу варианты подработки,6,В общежитии,3300,3,На бюджетной основе,260,"0,25",Нет,"4,4"
01.10.2023 17:39:05,2 курс (бакалавриата),19,Да,Мужской,0,Сконцентрирован(а) только на учёбе,25,В общежитии,3100,2,На бюджетной основе,248,"0,5",Нет,"4,8"
01.10.2023 18:15:55,2 курс (бакалавриата),19,Нет,Мужской,2,Нахожу варианты подработки,8,Живу с родственниками,6000,0,На бюджетной основе,245,1,Да,5
02.10.2023 0:21:43,1  курс (бакалавриата),18,Нет,Мужской,0,Сконцентрирован(а) только на учёбе,4,Живу с родственниками,3000,1,На бюджетной основе,245,"0,4",Нет,4
02.10.2023 12:26:13,2 курс (бакалавриата),19,Да,Мужской,7,Имею постоянную работу,2,Снимаю квартиру (один или с кем-то),130000,2,На бюджетной основе,270,1,Нет,"4,67"
02.10.2023 12:28:07,2 курс (бакалавриата),18,Да,Женский,3,Сконцентрирован(а) только на учёбе,5,Снимаю квартиру (один или с кем-то),6000,1,На бюджетной основе,271,1,Нет,5
02.10.2023 12:29:15,2 курс (бакалавриата),19,Да,Женский,2,Сконцентрирован(а) только на учёбе,20,Живу с родственниками,4300,2,На бюджетной основе,262,1,Нет,5
02.10.2023 12:36:24,2 курс (бакалавриата),19,Да,Мужской,2,Имею постоянную работу,8,Живу с родственниками,33000,1,На бюджетной основе,240,"1,5",Да,"4,2"
02.10.2023 12:40:16,2 курс (бакалавриата),18,Нет,Мужской,0,Сконцентрирован(а) только на учёбе,14,Снимаю квартиру (один или с кем-то),4000,1,На льготной основе,,"1,2",Да,5
02.10.2023 12:46:50,2 курс (бакалавриата),19,Да,Мужской,0,Сконцентрирован(а) только на учёбе,8,В общежитии,0,1,На контрактной основе,211,1,Нет,"4,17"
02.10.2023 12:56:02,2 курс (бакалавриата),19,Нет,Женский,3,Имею постоянную работу,10,В общежитии,13000,1,На бюджетной основе,253,1,Нет,"4,5"
02.10.2023 13:05:01,2 курс (бакалавриата),20,Да,Женский,0,Сконцентрирован(а) только на учёбе,40,Живу с родственниками,4000,2,На бюджетной основе,288,"1,5",Нет,5
02.10.2023 13:12:01,2 курс (бакалавриата),19,Да,Женский,2,Имею постоянную работу,22,В общежитии,14000,4,На бюджетной основе,249,"1,5",Да,5
02.10.2023 14:01:14,2 курс (бакалавриата),19,Да,Мужской,1,Сконцентрирован(а) только на учёбе,20,Живу с родственниками,5000,2,На бюджетной основе,274,"0,7",Да,"4,8"
02.10.2023 15:14:06,2 курс (бакалавриата),18,Нет,Женский,2,Имею постоянную работу,8,Снимаю квартиру (один или с кем-то),45000,1,На бюджетной основе,252,"1,5",Нет,5
02.10.2023 16:46:31,2 курс (бакалавриата),19,Да,Женский,2,Сконцентрирован(а) только на учёбе,20,Живу с родственниками,4128,0,На бюджетной основе,262,"0,75",Да,5
02.10.2023 17:33:11,2 курс (бакалавриата),19,Да,Мужской,0,Сконцентрирован(а) только на учёбе,40,В общежитии,4200,1,На бюджетной основе,252,"0,66",Нет,5
02.10.2023 17:36:48,3 курс (бакалавриата),20,Нет,Мужской,4,Сконцентрирован(а) только на учёбе,39,В общежитии,4300,1,На бюджетной основе,270,1,Да,5
02.10.2023 17:41:39,2 курс (бакалавриата),18,Да,Мужской,3,Нахожу варианты подработки,4,Снимаю квартиру (один или с кем-то),0,1,На бюджетной основе,258,1,Нет,"4,5"
02.10.2023 17:41:54,2 курс (бакалавриата),19,Да,Мужской,2,Имею постоянную работу,10,Живу с родственниками,30000,1,На бюджетной основе,254,1,Нет,"4,9"
02.10.2023 17:47:14,2 курс (бакалавриата),19,Да,Мужской,6,Нахожу варианты подработки,12,В общежитии,3300,1,На бюджетной основе,272,1,Нет,"4,5"
02.10.2023 17:58:39,2 курс (бакалавриата),19,Да,Мужской,2,Сконцентрирован(а) только на учёбе,16,В общежитии,5000,0,На бюджетной основе,251,"1,15",Да,"4,67"
02.10.2023 19:20:28,2 курс (бакалавриата),18,Да,Мужской,8,Имею постоянную работу,2,Живу с родственниками,197000,1,На бюджетной основе,289,"1,5",Да,"4,6"
02.10.2023 19:21:30,2 курс (бакалавриата),19,Нет,Мужской,4,Нахожу варианты подработки,12,Живу с родственниками,20000,2,На бюджетной основе,256,"1,5",Да,"4,4"
02.10.2023 19:31:15,2 курс (бакалавриата),19,Да,Мужской,2,Нахожу варианты подработки,10,В общежитии,25000,1,На бюджетной основе,286,1,Да,"4,5"
02.10.2023 19:38:26,2 курс (бакалавриата),19,Да,Мужской,4,Сконцентрирован(а) только на учёбе,0,Есть своя квартира,3300,0,На бюджетной основе,230,"0,5",Да,"3,9"
02.10.2023 19:40:11,2 курс (бакалавриата),18,Нет,Мужской,0,Имею постоянную работу,0,Живу с родственниками,20000,1,На бюджетной основе,198,3,Да,"4,25"
02.10.2023 19:40:18,2 курс (бакалавриата),18,Нет,Женский,5,Сконцентрирован(а) только на учёбе,0,Живу с родственниками,0,1,На контрактной основе,203,"0,25",Да,5
02.10.2023 19:43:13,1  курс (бакалавриата),18,Да,Мужской,4,Имею постоянную работу,4,Есть своя квартира,25000,0,На контрактной основе,228,"1,5",Да,"4,67"
02.10.2023 19:45:08,2 курс (бакалавриата),19,Нет,Женский,5,Сконцентрирован(а) только на учёбе,4,Живу с родственниками,0,0,На контрактной основе,196,"0,7",Да,"3,5"
02.10.2023 19:46:16,1 курс (магистратуры),22,Да,Мужской,1,Нахожу варианты подработки,4,Есть своя квартира,7000,2,На бюджетной основе,211,"1,2",Да,"4,6"
02.10.2023 19:46:21,2 курс (бакалавриата),19,Да,Мужской,3,Имею постоянную работу,7,Живу с родственниками,22000,1,На бюджетной основе,237,1,Да,"4,2"
02.10.2023 19:48:25,2 курс (бакалавриата),19,Нет,Мужской,1,Сконцентрирован(а) только на учёбе,15,Снимаю квартиру (один или с кем-то),24500,0,На бюджетной основе,244,50,Да,"4,7"
02.10.2023 19:49:58,2 курс (бакалавриата),19,Нет,Женский,0,Сконцентрирован(а) только на учёбе,6,Есть своя квартира,0,0,На контрактной основе,235,"1,17",Да,5
02.10.2023 19:52:59,2 курс (бакалавриата),19,Да,Женский,1,Сконцентрирован(а) только на учёбе,3,Снимаю квартиру (один или с кем-то),4300,1,На бюджетной основе,281,"1,5",Да,5
02.10.2023 19:53:50,2 курс (бакалавриата),19,Да,Мужской,2,Нахожу варианты подработки,10,В общежитии,25000,2,На бюджетной основе,240,"1,5",Да,"4,8"
02.10.2023 20:01:00,2 курс (магистратуры),22,Да,Женский,2,Имею постоянную работу,4,Есть своя квартира,35000,0,На бюджетной основе,285,1,Да,5
02.10.2023 20:02:32,2 курс (бакалавриата),19,Нет,Женский,2,Нахожу варианты подработки,4,Живу с родственниками,15000,2,На бюджетной основе,282,"0,7",Да,5
02.10.2023 20:06:21,2 курс (бакалавриата),19,Да,Женский,0,Имею постоянную работу,8,Живу с родственниками,30000,1,На контрактной основе,216,"0,7",Да,4
02.10.2023 20:11:56,2 курс (бакалавриата),19,Нет,Женский,2,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,0,1,На контрактной основе,186,"1,5",Да,"4,2"
02.10.2023 20:48:48,2 курс (бакалавриата),19,Нет,Мужской,2,Нахожу варианты подработки,10,Есть своя квартира,0,2,На бюджетной основе,235,"2,5",Да,"3,67"
02.10.2023 21:20:22,2 курс (бакалавриата),20,Да,Мужской,0,Нахожу варианты подработки,3,Живу с родственниками,14000,0,На целевой основе,242,"0,25",Да,"4,25"
02.10.2023 21:40:39,2 курс (бакалавриата),19,Нет,Мужской,1,Имею постоянную работу,3,В общежитии,30000,0,На бюджетной основе,214,"0,42",Да,"4,5"
02.10.2023 23:32:27,3 курс (бакалавриата),22,Нет,Женский,4,Сконцентрирован(а) только на учёбе,9,Есть своя квартира,0,1,На контрактной основе,,"0,75",Да,4
03.10.2023 0:01:42,2 курс (бакалавриата),18,Да,Мужской,0,Нахожу варианты подработки,21,Живу с родственниками,4300,3,На бюджетной основе,247,"0,7",Нет,5
03.10.2023 7:57:23,2 курс (бакалавриата),19,Да,Мужской,2,Сконцентрирован(а) только на учёбе,6,Есть своя квартира,0,1,На контрактной основе,175,"0,6",Да,4
03.10.2023 10:21:50,3 курс (бакалавриата),20,Нет,Женский,3,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,11000,1,На бюджетной основе,238,"0,5",Да,5
03.10.2023 11:08:27,2 курс (бакалавриата),18,Да,Женский,4,Имею постоянную работу,25,Живу с родственниками,25000,1,На бюджетной основе,251,"1,1",Да,4
03.10.2023 11:38:53,2 курс (бакалавриата),19,Да,Мужской,2,Сконцентрирован(а) только на учёбе,4,Живу с родственниками,0,1,На контрактной основе,210,1,Да,"4,8"
03.10.2023 11:42:14,2 курс (бакалавриата),19,Нет,Мужской,3,Сконцентрирован(а) только на учёбе,6,Есть своя квартира,4128,0,На бюджетной основе,247,"1,17",Да,5
03.10.2023 11:49:48,2 курс (бакалавриата),24,Да,Мужской,0,Нахожу варианты подработки,20,Есть своя квартира,60000,1,На бюджетной основе,250,"1,5",Да,"4,87"
03.10.2023 12:54:38,2 курс (бакалавриата),19,Нет,Мужской,1,Сконцентрирован(а) только на учёбе,4,Снимаю квартиру (один или с кем-то),3000,1,На бюджетной основе,251,"0,5",Нет,"4,5"
03.10.2023 22:14:29,2 курс (бакалавриата),19,Нет,Мужской,1,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,0,0,На контрактной основе,192,1,Да,"4,5"
03.10.2023 22:42:41,2 курс (бакалавриата),19,Да,Мужской,1,Нахожу варианты подработки,5,Живу с родственниками,18000,1,На целевой основе,205,"1,5",Нет,"4,17"
04.10.2023 12:53:57,1  курс (бакалавриата),19,Нет,Женский,0,Нахожу варианты подработки,3,Есть своя квартира,2000,0,На бюджетной основе,223,1,Да,
04.10.2023 12:54:47,1  курс (бакалавриата),19,Нет,Мужской,3,Сконцентрирован(а) только на учёбе,5,Живу с родственниками,2000,0,На бюджетной основе,290,1,Нет,5
04.10.2023 13:00:30,2 курс (бакалавриата),19,Нет,Женский,0,Имею постоянную работу,30,В общежитии,40000,0,На бюджетной основе,220,1,Да,"4,8"
